PC1,PC2,Virus
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.75787264,0.040974624,Ebola
-0.7692361,0.043243665,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.770719,0.05084787,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.75969994,0.04077898,Ebola
-0.7557838,0.07112003,Ebola
-0.7557838,0.07112003,Ebola
-0.7557838,0.07112003,Ebola
-0.75969994,0.04077898,Ebola
-0.75969994,0.04077898,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7685374,0.0808092,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7678218,0.066196695,Ebola
-0.7622777,0.056196064,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7622777,0.056196064,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7748046,0.07162464,Ebola
-0.75787264,0.040974624,Ebola
-0.7622777,0.056196064,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.759673,0.045152396,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7557838,0.07112003,Ebola
-0.7622777,0.056196064,Ebola
-0.7622777,0.056196064,Ebola
-0.7083314,0.04296217,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.76186377,0.042907596,Ebola
-0.7578522,0.049216144,Ebola
-0.7573418,0.06176014,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.76186377,0.042907596,Ebola
-0.75787264,0.040974624,Ebola
-0.7518562,0.043546706,Ebola
-0.77621925,0.15059172,Ebola
-0.7578522,0.049216144,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75945365,0.071079366,Ebola
-0.75787264,0.040974624,Ebola
-0.7573418,0.06176014,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7573418,0.06176014,Ebola
-0.75787264,0.040974624,Ebola
-0.7573418,0.06176014,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75945365,0.071079366,Ebola
-0.7573418,0.06176014,Ebola
